Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
"9,635",2021,The Ice Road,"$5,511,265",,"$5,511,265"
"9,636",1988,Heartbreak Hotel,"$5,509,417","$5,509,417",
"9,637",2022,Jeepers Creepers: Reborn,"$5,508,657","$2,033,057","$3,475,600"
"9,638",2008,Boku no kanojo wa saibôgu,"$5,506,234",,"$5,506,234"
"9,639",2018,Tuo Dan Gao Ji,"$5,504,562",,"$5,504,562"
"9,640",1998,Slums of Beverly Hills,"$5,502,773","$5,502,773",
"9,641",1951,Across the Wide Missouri,"$5,500,000","$5,500,000",
"9,642",2018,Love Addict,"$5,498,768",,"$5,498,768"
"9,643",1993,Three of Hearts,"$5,495,507","$5,495,507",
"9,644",2020,Run,"$5,491,510",,"$5,491,510"
"9,645",2016,Five,"$5,491,341",,"$5,491,341"
"9,646",2013,Somos Tao Jovens,"$5,490,389",,"$5,490,389"
"9,647",2021,Roadrunner: A Film About Anthony Bour…,"$5,488,731","$5,354,970","$133,761"
"9,648",1998,Ride,"$5,485,295","$5,485,295",
